CID;Descrição CID;Classificação Final (2025)
C220;Carcinoma de células hepáticas;CR Tumores do Aparelho Digestivo Alto
C221;Carcinoma de vias biliares intra-hepáticas;CR Tumores do Aparelho Digestivo Alto
C222;Hepatoblastoma;CR Tumores do Aparelho Digestivo Alto
C223;Angiossarcoma do fígado;CR Tumores do Aparelho Digestivo Alto
C224;Outros sarcomas do fígado;CR Tumores do Aparelho Digestivo Alto
C227;Outros carcinomas especificados do fígado;CR Tumores do Aparelho Digestivo Alto
C229;Neoplasia maligna do fígado, não especificada;CR Tumores do Aparelho Digestivo Alto
C23;Neoplasia maligna da vesícula biliar;CR Tumores do Aparelho Digestivo Alto
C24;Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares;CR Tumores do Aparelho Digestivo Alto
C240;Neoplasia maligna das vias biliares extra-hepáticas;CR Tumores do Aparelho Digestivo Alto
C241;Neoplasia maligna da ampola de Vater;CR Tumores do Aparelho Digestivo Alto
C248;Neoplasia maligna das vias biliares com lesão invasiva;CR Tumores do Aparelho Digestivo Alto
C249;Neoplasia maligna da via biliar, não especificada;CR Tumores do Aparelho Digestivo Alto
C25;Neoplasia maligna do pâncreas;CR Tumores do Aparelho Digestivo Alto
C250;Neoplasia maligna da cabeça do pâncreas;CR Tumores do Aparelho Digestivo Alto
C251;Neoplasia maligna do corpo do pâncreas;CR Tumores do Aparelho Digestivo Alto
C252;Neoplasia maligna da cauda do pâncreas;CR Tumores do Aparelho Digestivo Alto
C253;Neoplasia maligna do canal pancreático;CR Tumores do Aparelho Digestivo Alto
C254;Neoplasia maligna do pâncreas endócrino;CR Tumores do Aparelho Digestivo Alto
C257;Neoplasia maligna de outras partes do pâncreas;CR Tumores do Aparelho Digestivo Alto
C258;Neoplasia maligna do pâncreas com lesão invasiva;CR Tumores do Aparelho Digestivo Alto
C259;Neoplasia maligna do pâncreas, não especificado;CR Tumores do Aparelho Digestivo Alto
C26;Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo;CR Tumores do Aparelho Digestivo Alto
C260;Neoplasia maligna do trato intestinal, parte não especificada;CR Tumores do Aparelho Digestivo Alto
C261;Neoplasia maligna do baço;CR Tumores do Aparelho Digestivo Alto
C268;Neoplasia maligna do aparelho digestivo com lesão invasiva;CR Tumores do Aparelho Digestivo Alto
C269;Neoplasia maligna de localizações mal definidas dentro do aparelho digestivo;CR Tumores do Aparelho Digestivo Alto
C30;Neoplasia maligna da cavidade nasal e do ouvido médio;CR Tumores da Cabeça e Pescoço
C300;Neoplasia maligna da cavidade nasal;CR Tumores da Cabeça e Pescoço
C301;Neoplasia maligna do ouvido médio;CR Tumores da Cabeça e Pescoço
C31;Neoplasia maligna dos seios da face;CR Tumores da Cabeça e Pescoço
C310;Neoplasia maligna do seio maxilar;CR Tumores da Cabeça e Pescoço
C311;Neoplasia maligna do seio etmoidal;CR Tumores da Cabeça e Pescoço
C312;Neoplasia maligna do seio frontal;CR Tumores da Cabeça e Pescoço
C313;Neoplasia maligna do seio esfenoidal;CR Tumores da Cabeça e Pescoço
C318;Neoplasia maligna dos seios da face com lesão invasiva;CR Tumores da Cabeça e Pescoço
C319;Neoplasia maligna do seio da face, não especificado;CR Tumores da Cabeça e Pescoço
C32;Neoplasia maligna da laringe;CR Tumores da Cabeça e Pescoço
C320;Neoplasia maligna da glote;CR Tumores da Cabeça e Pescoço
C321;Neoplasia maligna da região supraglótica;CR Tumores da Cabeça e Pescoço
C322;Neoplasia maligna da região subglótica;CR Tumores da Cabeça e Pescoço
C323;Neoplasia maligna das cartilagens da laringe;CR Tumores da Cabeça e Pescoço
C328;Neoplasia maligna da laringe com lesão invasiva;CR Tumores da Cabeça e Pescoço
C329;Neoplasia maligna da laringe, não especificada;CR Tumores da Cabeça e Pescoço
C33;Neoplasia maligna da traqueia;CR Tumores do Pulmão e Tórax
C34;Neoplasia maligna do brônquio e do pulmão;CR Tumores do Pulmão e Tórax
C340;Neoplasia maligna do brônquio principal, lado direito;CR Tumores do Pulmão e Tórax
C341;Neoplasia maligna do brônquio principal, lado esquerdo;CR Tumores do Pulmão e Tórax
C342;Neoplasia maligna dos brônquios lobares, lado direito;CR Tumores do Pulmão e Tórax
C343;Neoplasia maligna dos brônquios lobares, lado esquerdo;CR Tumores do Pulmão e Tórax
C348;Neoplasia maligna de outras partes e de partes não especificadas do brônquio e pulmão;CR Tumores do Pulmão e Tórax
C349;Neoplasia maligna do brônquio e do pulmão, não especificada;CR Tumores do Pulmão e Tórax
C37;Neoplasia maligna da glândula timo;CR Tumores do Pulmão e Tórax
C38;Neoplasia maligna do coração, mediastino e pleura (tumores germinativos primarios de mediastino);CR Tumores do Pulmão e Tórax
C380;Neoplasia maligna do coração (tumores germinativos primarios de mediastino);CR Tumores do Pulmão e Tórax
C381;Neoplasia maligna do mediastino anterior (tumores germinativos primarios de mediastino);CR Tumores do Pulmão e Tórax
C382;Neoplasia maligna do mediastino posterior (tumores germinativos primarios de mediastino);CR Tumores do Pulmão e Tórax
C383;Neoplasia maligna do mediastino, porção não especificada (tumores germinativos primarios de mediastino);CR Tumores do Pulmão e Tórax
C384;Neoplasia maligna da pleura;CR Tumores do Pulmão e Tórax
C388;Neoplasia maligna do coração, mediastino e pleura com lesão invasiva (tumores germinativos primarios de mediastino);CR Tumores do Pulmão e Tórax
C39;Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos;CR Tumores do Pulmão e Tórax
C390;Neoplasia maligna do trato respiratório superior, porção não especificada;CR Tumores do Pulmão e Tórax
C398;Neoplasia maligna do aparelho respiratório e dos órgãos intratorácicos com lesão invasiva;CR Tumores do Pulmão e Tórax
C399;Neoplasia maligna de localizações mal definidas do aparelho respiratório;CR Tumores do Pulmão e Tórax
C40;Neoplasia maligna dos ossos e cartilagens articulares dos membros;CR Sarcomas e Tumores Ósseos
C400;Neoplasia maligna da omoplata [escápula] e ossos longos dos membros superiores;CR Sarcomas e Tumores Ósseos
C401;Neoplasia maligna dos ossos curtos dos membros superiores;CR Sarcomas e Tumores Ósseos
C402;Neoplasia maligna dos ossos longos dos membros inferiores;CR Sarcomas e Tumores Ósseos
C403;Neoplasia maligna dos ossos curtos dos membros inferiores;CR Sarcomas e Tumores Ósseos
C408;Neoplasia maligna dos ossos e cartilagens articulares dos membros com lesão invasiva;CR Sarcomas e Tumores Ósseos
C409;Neoplasia maligna dos ossos e cartilagens articulares de membro não especificado;CR Sarcomas e Tumores Ósseos
C41;Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas;CR Sarcomas e Tumores Ósseos
C410;Neoplasia maligna dos ossos do crânio e da face;CR Tumores da Cabeça e Pescoço
C411;Neoplasia maligna da mandíbula;CR Tumores da Cabeça e Pescoço
C412;Neoplasia maligna da coluna vertebral ;CR Sarcomas e Tumores ósseos
C413;Neoplasia maligna das costelas, esterno e clavícula;CR Sarcomas e Tumores Ósseos
C414;Neoplasia maligna dos ossos da pelve, sacro e cóccix;CR Sarcomas e Tumores Ósseos
C418;Neoplasia maligna dos ossos e das cartilagens articulares com lesão invasiva;CR Sarcomas e Tumores Ósseos
C419;Neoplasia maligna dos ossos e cartilagens articulares, não especificados;CR Sarcomas e Tumores Ósseos
C43;Melanoma maligno da pele;CR Tumores Cutâneos
C430;Melanoma maligno do lábio;CR Tumores Cutâneos
C431;Melanoma maligno da pálpebra, incluindo as comissuras palpebrais;CR Tumores Cutâneos
C432;Melanoma maligno da orelha e do conduto auditivo externo;CR Tumores Cutâneos
C433;Melanoma maligno de outras partes e partes não especificadas da face;CR Tumores Cutâneos
C434;Melanoma maligno do couro cabeludo e do pescoço;CR Tumores Cutâneos
C435;Melanoma maligno do tronco;CR Tumores Cutâneos
C436;Melanoma maligno do membro superior, incluindo ombro;CR Tumores Cutâneos
C437;Melanoma maligno do membro inferior, incluindo quadril;CR Tumores Cutâneos
C438;Melanoma maligno invasivo da pele;CR Tumores Cutâneos
C439;Melanoma maligno de pele, não especificado;CR Tumores Cutâneos
C44;Outras neoplasias malignas da pele;CR Tumores Cutâneos
C440;Neoplasia maligna da pele do lábio;CR Tumores Cutâneos
C441;Neoplasia maligna da pele da pálpebra, incluindo o canto;CR Tumores Cutâneos
C442;Neoplasia maligna da pele da orelha e do conduto auditivo externo;CR Tumores Cutâneos
C443;Neoplasia maligna da pele de outras e não especificadas partes da face;CR Tumores Cutâneos
C444;Neoplasia maligna da pele do couro cabeludo e do pescoço;CR Tumores Cutâneos
C445;Neoplasia maligna da pele do tronco;CR Tumores Cutâneos
C446;Neoplasia maligna da pele do membro superior, incluindo ombro;CR Tumores Cutâneos
C447;Neoplasia maligna da pele do membro inferior, incluindo quadril;CR Tumores Cutâneos
C448;Neoplasia maligna da pele com lesão invasiva;CR Tumores Cutâneos
C449;Neoplasia maligna da pele, não especificada;CR Tumores Cutâneos
C45;Mesotelioma;CR Tumores do Pulmão e Tórax
C450;Mesotelioma da pleura;CR Tumores do Pulmão e Tórax
C451;Mesotelioma do peritônio;CR Tumores do Pulmão e Tórax
C452;Mesotelioma do pericárdio;CR Tumores do Pulmão e Tórax
C457;Mesotelioma de outras localizações;CR Tumores do Pulmão e Tórax
C459;Mesotelioma, não especificado;CR Tumores do Pulmão e Tórax
C46;Sarcoma de Kaposi;CR Sarcomas e Tumores Ósseos
C460;Sarcoma de Kaposi da pele;CR Tumores Cutâneos
C461;Sarcoma de Kaposi de tecidos moles;CR Sarcomas e Tumores Ósseos
C462;Sarcoma de Kaposi do palato;CR Sarcomas e Tumores Ósseos
C463;Sarcoma de Kaposi dos gânglios linfáticos;CR Sarcomas e Tumores Ósseos
C467;Sarcoma de Kaposi de outras localizações;CR Sarcomas e Tumores Ósseos
C468;Sarcoma de Kaposi de múltiplos órgãos;CR Sarcomas e Tumores Ósseos
