CID;Descrição CID;Classificação Final (2025)
D231;Neoplasia benigna da pele da pálpebra, incluindo o canto;CR Tumores Cutâneos
D232;Neoplasia benigna da pele da orelha e do conduto auditivo externo;CR Tumores Cutâneos
D233;Neoplasia benigna da pele de outras partes e de partes não especificadas da face;CR Tumores Cutâneos
D234;Neoplasia benigna da pele do couro cabeludo e do pescoço;CR Tumores Cutâneos
D235;Neoplasia benigna da pele do tronco;CR Tumores Cutâneos
D236;Neoplasia benigna da pele dos membros superiores, incluindo o ombro;CR Tumores Cutâneos
D237;Neoplasia benigna da pele dos membros inferiores, incluindo o quadril;CR Tumores Cutâneos
D239;Neoplasia benigna da pele, não especificada;CR Tumores Cutâneos
D24;Neoplasia benigna da mama;CR Tumores da Mama
D25;Leiomioma do útero;CR Tumores Ginecológicos
D250;Leiomioma submucoso do útero;CR Tumores Ginecológicos
D251;Leiomioma intramural do útero;CR Tumores Ginecológicos
D252;Leiomioma subseroso do útero;CR Tumores Ginecológicos
D259;Leiomioma do útero, não especificado;CR Tumores Ginecológicos
D26;Outras neoplasias benignas do útero;CR Tumores Ginecológicos
D260;Neoplasia benigna do colo do útero;CR Tumores Ginecológicos
D261;Neoplasia benigna do corpo do útero;CR Tumores Ginecológicos
D267;Neoplasia benigna de outras partes do útero;CR Tumores Ginecológicos
D269;Neoplasia benigna do útero, não especificado;CR Tumores Ginecológicos
D27;Neoplasia benigna do ovário;CR Tumores Ginecológicos
D28;Neoplasia benigna de outros órgãos genitais femininos e de órgãos não especificados;CR Tumores Ginecológicos
D280;Neoplasia benigna da vulva;CR Tumores Ginecológicos
D281;Neoplasia benigna da vagina;CR Tumores Ginecológicos
D282;Neoplasia benigna das trompas e ligamentos uterinos;CR Tumores Ginecológicos
D287;Neoplasia benigna de outros órgãos genitais femininos especificados;CR Tumores Ginecológicos
D289;Neoplasia benigna de órgão genital feminino, não especificado;CR Tumores Ginecológicos
D29;Neoplasia benigna dos órgãos genitais masculinos;CR Tumores Urológicos
D290;Neoplasia benigna do pênis;CR Tumores Urológicos
D291;Neoplasia benigna da próstata;CR Tumores Urológicos
D292;Neoplasia benigna dos testículos;CR Tumores Urológicos
D293;Neoplasia benigna do epidídimo;CR Tumores Urológicos
D294;Neoplasia benigna do escroto;CR Tumores Urológicos
D297;Neoplasia benigna de outros órgãos genitais masculinos;CR Tumores Urológicos
D299;Neoplasia benigna de órgão genital masculino, não especificado;CR Tumores Urológicos
D30;Neoplasia benigna dos órgãos urinários;CR Tumores Urológicos
D300;Neoplasia benigna do rim;CR Tumores Urológicos
D301;Neoplasia benigna da pelve renal;CR Tumores Urológicos
D302;Neoplasia benigna do ureter;CR Tumores Urológicos
D303;Neoplasia benigna da bexiga;CR Tumores Urológicos
D304;Neoplasia benigna da uretra;CR Tumores Urológicos
D307;Neoplasia benigna de outros órgãos urinários;CR Tumores Urológicos
D309;Neoplasia benigna de órgão urinário, não especificado;CR Tumores Urológicos
D31;Neoplasia benigna do olho e anexos;CR Tumores da Cabeça e Pescoço
D310;Neoplasia benigna da conjuntiva;CR Tumores da Cabeça e Pescoço
D311;Neoplasia benigna da córnea;CR Tumores da Cabeça e Pescoço
D312;Neoplasia benigna da retina;CR Tumores da Cabeça e Pescoço
D313;Neoplasia benigna da coróide;CR Tumores da Cabeça e Pescoço
D314;Neoplasia benigna do corpo ciliar;CR Tumores da Cabeça e Pescoço
D315;Neoplasia benigna das glândulas e dos canais lacrimais;CR Tumores da Cabeça e Pescoço
D316;Neoplasia benigna da órbita, não especificada;CR Tumores da Cabeça e Pescoço
D319;Neoplasia benigna do olho, não especificado;CR Tumores da Cabeça e Pescoço
D32;Neoplasia benigna das meninges;CR Tumores do Sistema Nervoso Central
D320;Neoplasia benigna das meninges cerebrais;CR Tumores do Sistema Nervoso Central
D321;Neoplasia benigna das meninges espinhais;CR Tumores do Sistema Nervoso Central
D329;Neoplasia benigna das meninges, não especificada;CR Tumores do Sistema Nervoso Central
D33;Neoplasia benigna do cérebro e de outras partes do sistema nervoso central;CR Tumores do Sistema Nervoso Central
D330;Neoplasia benigna do encéfalo, supratentorial;CR Tumores do Sistema Nervoso Central
D331;Neoplasia benigna do encéfalo, infratentorial;CR Tumores do Sistema Nervoso Central
D332;Neoplasia benigna do encéfalo, não especificado;CR Tumores do Sistema Nervoso Central
D333;Neoplasia benigna da medula espinhal;CR Tumores do Sistema Nervoso Central
D334;Neoplasia benigna dos nervos cranianos;CR Tumores do Sistema Nervoso Central
D337;Neoplasia benigna de outras partes especificadas do sistema nervoso central;CR Tumores do Sistema Nervoso Central
D339;Neoplasia benigna do sistema nervoso central, não especificada;CR Tumores do Sistema Nervoso Central
D34;Neoplasia benigna da glândula tireóide;CR Tumores da Cabeça e Pescoço
D35;Neoplasia benigna de outras glândulas endócrinas e das não especificadas;CR Tumores do Sistema Nervoso Central
D350;Neoplasia benigna da glândula supra-renal (adrenal);CR Tumores Urológicos
D351;Neoplasia benigna da glândula paratireóide;CR Tumores da Cabeça e Pescoço
D352;Neoplasia benigna da glândula hipófise (pituitária);CR Tumores da Cabeça e Pescoço
D353;Neoplasia benigna do conduto craniofaríngeo;CR Tumores do Sistema Nervoso Central
D354;Neoplasia benigna da glândula pineal;CR Tumores do Sistema Nervoso Central
D355;Neoplasia benigna do corpo carotídeo;CR Tumores da Cabeça e Pescoço
D356;Neoplasia benigna de outras glândulas endócrinas e estruturas relacionadas (inclui paragangliomas de localização indefinida);CR Tumores da Cabeça e Pescoço
D357;Neoplasia benigna de outras glândulas endócrinas especificadas;Não Vinculado
D358;Neoplasia benigna com comprometimento pluriglandular;CR Tumores da Cabeça e Pescoço
D359;Neoplasia benigna de glândula endócrina, não especificada;Não Vinculado
D36;Neoplasia benigna de outras localizações e de localizações não especificadas;Não vinculado
D360;Neoplasia benigna dos gânglios linfáticos (linfonodos);Não vinculado
D361;Neoplasia benigna dos nervos periféricos e sistema nervoso autônomo;CR Tumores do Sistema Nervoso Central
D367;Neoplasia benigna de outras localizações especificadas;Não Vinculado
D369;Neoplasia benigna de localização não especificada;Não Vinculado
D37;Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos;Não vinculado
D370;Neoplasia de comportamento incerto ou desconhecido do lábio, cavidade oral e faringe;CR Tumores da Cabeça e Pescoço
D371;Neoplasia de comportamento incerto ou desconhecido do estômago;CR Sarcomas e Tumores Ósseos
D372;Neoplasia de comportamento incerto ou desconhecido do intestino delgado;CR Sarcomas e Tumores Ósseos
D373;Neoplasia de comportamento incerto ou desconhecido do apêndice;CR Tumores Colorretais
D374;Neoplasia de comportamento incerto ou desconhecido dos cólons;CR Tumores Colorretais
D375;Neoplasia de comportamento incerto ou desconhecido do reto;CR Tumores Colorretais
D376;Neoplasia de comportamento incerto ou desconhecido do fígado, vesícula biliar e vias biliares;CR Sarcomas e Tumores Ósseos
D377;Neoplasia de comportamento incerto ou desconhecido de outros órgãos digestivos;CR Sarcomas e Tumores Ósseos
D379;Neoplasia de comportamento incerto ou desconhecido de órgão digestivo, não especificado;CR Sarcomas e Tumores Ósseos
D38;Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos;Não Vinculado
D380;Neoplasia de comportamento incerto ou desconhecido da laringe;CR Tumores da Cabeça e Pescoço
D381;Neoplasia de comportamento incerto ou desconhecido da traquéia, brônquios e pulmão;CR Tumores do Pulmão e Tórax
D382;Neoplasia de comportamento incerto ou desconhecido da pleura;CR Tumores do Pulmão e Tórax
D383;Neoplasia de comportamento incerto ou desconhecido do mediastino;CR Tumores do Pulmão e Tórax
D384;Neoplasia de comportamento incerto ou desconhecido do timo;CR Tumores do Pulmão e Tórax
D385;Neoplasia de comportamento incerto ou desconhecido de outros órgãos respiratórios;CR Tumores do Pulmão e Tórax
D386;Neoplasia de comportamento incerto ou desconhecido de órgão respiratório, não especificado;CR Tumores do Pulmão e Tórax
D39;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos;CR Tumores Ginecológicos
D390;Neoplasia de comportamento incerto ou desconhecido do útero;CR Tumores Ginecológicos
D391;Neoplasia de comportamento incerto ou desconhecido do ovário;CR Tumores Ginecológicos
D392;Neoplasia de comportamento incerto ou desconhecido da placenta;CR Tumores Ginecológicos
D397;Neoplasia de comportamento incerto ou desconhecido de outros órgãos genitais femininos;CR Tumores Ginecológicos
D399;Neoplasia de comportamento incerto ou desconhecido de órgão genital feminino, não especificado;CR Tumores Ginecológicos
D40;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos;CR Tumores Urológicos
D400;Neoplasia de comportamento incerto ou desconhecido da próstata;CR Tumores Urológicos
D401;Neoplasia de comportamento incerto ou desconhecido do testículo;CR Tumores Urológicos
D407;Neoplasia de comportamento incerto ou desconhecido de outros órgãos genitais masculinos;CR Tumores Urológicos
D409;Neoplasia de comportamento incerto ou desconhecido de órgão genital masculino, não especificado;CR Tumores Urológicos
D41;Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários;CR Tumores Urológicos
D410;Neoplasia de comportamento incerto ou desconhecido do rim;CR Tumores Urológicos
D411;Neoplasia de comportamento incerto ou desconhecido da pelve renal;CR Tumores Urológicos
D412;Neoplasia de comportamento incerto ou desconhecido do ureter;CR Tumores Urológicos
D413;Neoplasia de comportamento incerto ou desconhecido da uretra;CR Tumores Urológicos
D414;Neoplasia de comportamento incerto ou desconhecido da bexiga;CR Tumores Urológicos
D417;Neoplasia de comportamento incerto ou desconhecido de outros órgãos urinários;CR Tumores Urológicos
D419;Neoplasia de comportamento incerto ou desconhecido de órgão urinário, não especificado;CR Tumores Urológicos
D42;Neoplasia de comportamento incerto ou desconhecido das meninges;CR Tumores do Sistema Nervoso Central
D420;Neoplasia de comportamento incerto ou desconhecido das meninges cerebrais;CR Tumores do Sistema Nervoso Central
D421;Neoplasia de comportamento incerto ou desconhecido das meninges espinhais;CR Tumores do Sistema Nervoso Central
D429;Neoplasia de comportamento incerto ou desconhecido de meninges não especificadas;CR Tumores do Sistema Nervoso Central
D43;Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central;CR Tumores do Sistema Nervoso Central
D430;Neoplasia de comportamento incerto ou desconhecido do encéfalo, supratentorial;CR Tumores do Sistema Nervoso Central
D431;Neoplasia de comportamento incerto ou desconhecido do encéfalo, infratentorial;CR Tumores do Sistema Nervoso Central
D432;Neoplasia de comportamento incerto ou desconhecido do encéfalo, não especificado;CR Tumores do Sistema Nervoso Central
D433;Neoplasia de comportamento incerto ou desconhecido dos nervos cranianos;CR Tumores do Sistema Nervoso Central
D434;Neoplasia de comportamento incerto ou desconhecido da medula espinhal;CR Tumores do Sistema Nervoso Central
D437;Neoplasia de comportamento incerto ou desconhecido de outras partes do sistema nervoso central;CR Tumores do Sistema Nervoso Central
D439;Neoplasia de comportamento incerto ou desconhecido do sistema nervoso central, não especificado;CR Tumores do Sistema Nervoso Central
D44;Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas;Não Vinculado
D440;Neoplasia de comportamento incerto ou desconhecido da glândula tireóide;CR Tumores da Cabeça e Pescoço
D441;Neoplasia de comportamento incerto ou desconhecido da glândula supra-renal (adrenal);CR Tumores Urológicos
D442;Neoplasia de comportamento incerto ou desconhecido da glândula paratireóide;CR Tumores da Cabeça e Pescoço
D443;Neoplasia de comportamento incerto ou desconhecido da glândula hipófise (pituitária);CR Tumores da Cabeça e Pescoço
D444;Neoplasia de comportamento incerto ou desconhecido do conduto craniofaríngeo;CR Tumores do Sistema Nervoso Central
D445;Neoplasia de comportamento incerto ou desconhecido da glândula pineal;CR Tumores do Sistema Nervoso Central
D446;Neoplasia de comportamento incerto ou desconhecido do corpo carotídeo;CR Tumores da Cabeça e Pescoço
D447;Neoplasia de comportamento incerto ou desconhecido dos corpos aórticos e outros paragânglios;CR Tumores da Cabeça e Pescoço
D448;Neoplasia de comportamento incerto ou desconhecido com comprometimento pluriglandular;CR Tumores do Sistema Nervoso Central
D449;Neoplasia de comportamento incerto ou desconhecido de glândula endócrina, não especificada;Não Vinculado
D45;Policitemia vera;Não vinculado
D46;Síndromes mielodisplásicas;CR Neoplasias Hematológicas
D460;Anemia refratária sem sideroblastos;CR Neoplasias Hematológicas
D461;Anemia refratária com sideroblastos;CR Neoplasias Hematológicas
D462;Anemia refratária com excesso de blastos;CR Neoplasias Hematológicas
D463;Anemia refratária com excesso de blastos com transformação;CR Neoplasias Hematológicas
D464;Anemia refratária, não especificada;CR Neoplasias Hematológicas
D467;Outras síndromes mielodisplásicas;CR Neoplasias Hematológicas
D469;Síndrome mielodisplásica, não especificada;CR Neoplasias Hematológicas
D47;Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos;CR Neoplasias Hematológicas
D470;Tumores de comportamento incerto ou desconhecido de mastócitos e células histiocíticas;CR Neoplasias Hematológicas
D471;Doença mieloproliferativa crônica;CR Neoplasias Hematológicas
D472;Gamopatia monoclonal;CR Neoplasias Hematológicas
D473;Trombocitemia essencial (hemorrágica);CR Neoplasias Hematológicas
D477;Outras neoplasias especificadas de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos relacionados;CR Neoplasias Hematológicas
D479;Neoplasia de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos, não especificada;CR Neoplasias Hematológicas
D48;Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas;Não Vinculado
D480;Neoplasia de comportamento incerto ou desconhecido dos ossos e cartilagens articulares;CR Sarcomas e Tumores Ósseos
D481;Neoplasia de comportamento incerto ou desconhecido do tecido conjuntivo e outros tecidos moles;CR Sarcomas e Tumores Ósseos
D482;Neoplasia de comportamento incerto ou desconhecido dos nervos periféricos e do sistema nervoso periférico;CR Sarcomas e Tumores Ósseos
D483;Neoplasia de comportamento incerto ou desconhecido do retroperitônio;CR Sarcomas e Tumores Ósseos
D484;Neoplasia de comportamento incerto ou desconhecido do peritônio;CR Sarcomas e Tumores Ósseos
D485;Neoplasia de comportamento incerto ou desconhecido da pele;CR Tumores Cutâneos
D486;Neoplasia de comportamento incerto ou desconhecido da mama;CR Tumores da Mama
D487;Neoplasia de comportamento incerto ou desconhecido de outras localizações especificadas;CR Sarcomas e Tumores Ósseos
D489;Neoplasia de comportamento incerto ou desconhecido sem outra especificação;CR Sarcomas e Tumores Ósseos
D50;Anemia por deficiência de ferro;CR Neoplasias Hematológicas
D500;Anemia por deficiência de ferro secundária à perda de sangue (crônica);Não vinculado
D501;Disfagia sideropênica;Não vinculado
D508;Outras anemias por deficiência de ferro;Não vinculado
D509;Anemia por deficiência de ferro não especificada;CR Neoplasias Hematológicas
D51;Anemia por deficiência de vitamina B12;Não vinculado
D510;Anemia por deficiência de vitamina B12 devida à deficiência de fator intrínseco;Não vinculado
D511;Anemia por deficiência de vitamina B12 devida à má-absorção seletiva de vitamina B12 com proteinúria;Não vinculado
D512;Deficiência de transcobalamina II;Não vinculado
D513;Outras anemias por deficiência de vitamina B12 na dieta;Não vinculado
D518;Outras anemias por deficiência de vitamina B12;Não vinculado
D519;Anemia por deficiência de vitamina B12 não especificada;Não vinculado
D52;Anemia por deficiência de folato;Não vinculado
D520;Anemia por deficiência de folato na dieta;Não vinculado
D521;Anemia por deficiência de folato induzida por drogas;Não vinculado
D528;Outras anemias por deficiência de folato;Não vinculado
D529;Anemia por deficiência de folato não especificada;Não vinculado
D53;Outras anemias nutricionais;Não vinculado
D530;Anemia por deficiência de proteínas;Não vinculado
D531;Outras anemias megaloblásticas não classificadas em outras partes;Não vinculado
D532;Anemia escorbútica;Não vinculado
D538;Outras anemias nutricionais especificadas;Não vinculado
D539;Anemia nutricional não especificada;Não vinculado
D55;Anemia devida a transtornos enzimáticos;Não vinculado
D550;Anemia devida à deficiência de glicose-6-fosfato-desidrogenase [G-6-PD];Não vinculado
D551;Anemia devida a outros transtornos do metabolismo do glutation;Não vinculado
D552;Anemia devida a transtornos das enzimas glicolíticas;Não vinculado
D553;Anemia devida a transtornos do metabolismo de nucleotídios;Não vinculado
D558;Outras anemias devidas a transtornos enzimáticos;Não vinculado
D559;Anemia devida a transtorno enzimático não especificada;Não vinculado
D56;Talassemia;CR Neoplasias Hematológicas
D560;Talassemia alfa;CR Neoplasias Hematológicas
D561;Talassemia beta;CR Neoplasias Hematológicas
D562;Talassemia delta-beta;CR Neoplasias Hematológicas
D563;Estigma talassêmico;CR Neoplasias Hematológicas
D564;Persistência hereditária de hemoglobina fetal;CR Neoplasias Hematológicas
D568;Outras talassemias;CR Neoplasias Hematológicas
D569;Talassemia não especificada;CR Neoplasias Hematológicas
D57;Transtornos falciformes;CR Neoplasias Hematológicas
D570;Anemia falciforme com crise;CR Neoplasias Hematológicas
D571;Anemia falciforme sem crise;CR Neoplasias Hematológicas
D572;Transtornos falciformes heterozigóticos duplos;CR Neoplasias Hematológicas
D573;Estigma falciforme;CR Neoplasias Hematológicas
D578;Outros transtornos falciformes;CR Neoplasias Hematológicas
D58;Outras anemias hemolíticas hereditárias;CR Neoplasias Hematológicas
D580;Esferocitose hereditária;CR Neoplasias Hematológicas
D581;Eliptocitose hereditária;CR Neoplasias Hematológicas
D582;Outras hemoglobinopatias;CR Neoplasias Hematológicas
D588;Outras anemias hemolíticas hereditárias especificadas;CR Neoplasias Hematológicas
D589;Anemia hemolítica hereditária não especificada;CR Neoplasias Hematológicas
D59;Anemia hemolítica adquirida;CR Neoplasias Hematológicas
D590;Anemia hemolítica auto-imune induzida por droga;CR Neoplasias Hematológicas
D591;Outras anemias hemolíticas auto-imunes;CR Neoplasias Hematológicas
D592;Anemia hemolítica não-auto-imune induzida por drogas;CR Neoplasias Hematológicas
D593;Síndrome hemolítico-urêmica;CR Neoplasias Hematológicas
D594;Outras anemias hemolíticas não-autoimunes;CR Neoplasias Hematológicas
D595;Hemoglobinúria paroxística noturna [Marchiafava-Micheli];CR Neoplasias Hematológicas
D596;Hemoglobinúria devida à hemólise por outras causas externas;CR Neoplasias Hematológicas
D598;Outras anemias hemolíticas adquiridas;CR Neoplasias Hematológicas
D599;Anemia hemolítica adquirida não especificada;CR Neoplasias Hematológicas
D60;Aplasia pura da série vermelha, adquirida [eritroblastopenia];CR Neoplasias Hematológicas
D600;Aplasia pura adquirida crônica da série vermelha;CR Neoplasias Hematológicas
D601;Aplasia pura adquirida transitória da série vermelha;CR Neoplasias Hematológicas
D608;Outras aplasias puras adquiridas da série vermelha;CR Neoplasias Hematológicas
D609;Aplasia pura adquirida, não especificada, da série vermelha;CR Neoplasias Hematológicas
D61;Outras anemias aplásticas;CR Neoplasias Hematológicas
D610;Anemia aplástica constitucional;CR Neoplasias Hematológicas
D611;Anemia aplástica induzida por drogas;CR Neoplasias Hematológicas
D612;Anemia aplástica devida a outros agentes externos;CR Neoplasias Hematológicas
D613;Anemia aplástica idiopática;CR Neoplasias Hematológicas
D618;Outras anemias aplásticas especificadas;CR Neoplasias Hematológicas
D619;Anemia aplástica não especificada;CR Neoplasias Hematológicas
D62;Anemia aguda pós-hemorrágica;Não vinculado
D63;Anemia em doenças crônicas classificadas em outra parte;Não vinculado
D630;Anemia em neoplasias;Não vinculado
D638;Anemia em outras doenças classificadas em outra parte;CR Neoplasias Hematológicas
D64;Outras anemias;Não vinculado
D640;Anemia sideroblástica hereditária;CR Neoplasias Hematológicas
D641;Anemia sideroblástica secundária a doença;CR Neoplasias Hematológicas
D642;Anemia sideroblástica secundária ao uso de drogas e a toxinas;CR Neoplasias Hematológicas
D643;Outras anemias sideroblásticas;CR Neoplasias Hematológicas
D644;Anemia diseritropoética congênita;CR Neoplasias Hematológicas
D648;Outras anemias especificadas;Não vinculado
D649;Anemia não especificada;Não vinculado
D65;Coagulação intravascular disseminada [síndrome de desfibrinação];Não vinculado
D66;Deficiência hereditária do fator VIII;CR Neoplasias Hematológicas
D67;Deficiência hereditária do fator IX;CR Neoplasias Hematológicas
D68;Outros defeitos da coagulação;Não vinculado
D680;Doença de Von Willebrand;CR Neoplasias Hematológicas
D681;Deficiência hereditária de fator XI;CR Neoplasias Hematológicas
D682;Deficiência hereditária de outros fatores de coagulação;CR Neoplasias Hematológicas
D683;Transtorno hemorrágico devido a anticoagulantes circulantes;Não vinculado
D684;Deficiência adquirida de fator de coagulação;CR Neoplasias Hematológicas
D688;Outros defeitos especificados da coagulação;CR Neoplasias Hematológicas
D689;Defeito de coagulação não especificado;CR Neoplasias Hematológicas
D69;Púrpura e outras afecções hemorrágicas;Não vinculado
D690;Púrpura alérgica;CR Neoplasias Hematológicas
D691;Defeitos qualitativos das plaquetas;CR Neoplasias Hematológicas
D692;Outras púrpuras não-trombocitopênicas;CR Neoplasias Hematológicas
D693;Púrpura trombocitopênica idiopática;CR Neoplasias Hematológicas
D694;Outra trombocitopenia primária;CR Neoplasias Hematológicas
D695;Trombocitopenia secundária;CR Neoplasias Hematológicas
D696;Trombocitopenia não especificada;CR Neoplasias Hematológicas
D698;Outras afecções hemorrágicas especificadas;CR Neoplasias Hematológicas
D699;Afecção hemorrágica não especificada;CR Neoplasias Hematológicas
D70;Agranulocitose;CR Neoplasias Hematológicas
D71;Transtornos funcionais dos neutrófilos polimorfonucleares;CR Neoplasias Hematológicas
D72;Outros transtornos dos glóbulos brancos;CR Neoplasias Hematológicas
D720;Anomalias genéticas dos leucócitos;CR Neoplasias Hematológicas
D721;Eosinofilia;CR Neoplasias Hematológicas
D728;Outros transtornos especificados dos glóbulos brancos;CR Neoplasias Hematológicas
D729;Transtornos não especificados dos glóbulos brancos;CR Neoplasias Hematológicas
D73;Doenças do baço;CR Tumores do Aparelho Digestivo Alto
D730;Hipoesplenismo;CR Tumores do Aparelho Digestivo Alto
D731;Hiperesplenismo;Não vinculado
D732;Esplenomegalia congestiva crônica;CR Tumores do Aparelho Digestivo Alto
D733;Abscesso do baço;CR Tumores do Aparelho Digestivo Alto
D734;Cisto do baço;CR Tumores do Aparelho Digestivo Alto
D735;Infarto do baço;CR Tumores do Aparelho Digestivo Alto
D738;Outras doenças do baço;CR Tumores do Aparelho Digestivo Alto
D739;Doença não especificada do baço;CR Tumores do Aparelho Digestivo Alto
D74;Metemoglobinemia;CR Neoplasias Hematológicas
D740;Metemoglobinemia congênita;CR Neoplasias Hematológicas
D748;Outras metemoglobinemias;CR Neoplasias Hematológicas
D749;Metemoglobinemia não especificada;CR Neoplasias Hematológicas
D75;Outras doenças do sangue e dos órgãos hematopoéticos;CR Neoplasias Hematológicas
D750;Eritrocitose familiar;CR Neoplasias Hematológicas
D751;Policitemia secundária;CR Neoplasias Hematológicas
D752;Trombocitose essencial;CR Neoplasias Hematológicas
D758;Outras doenças especificadas do sangue e dos órgãos hematopoéticos;CR Neoplasias Hematológicas
D759;Doença não especificada do sangue e dos órgãos hematopoéticos;CR Neoplasias Hematológicas
D76;Algumas doenças que envolvem o tecido linforreticular e o sistema reticulohistiocítico;CR Neoplasias Hematológicas
D760;Histiocitose das células de Langerhans não classificadas em outra parte;CR Neoplasias Hematológicas
D761;Linfohistiocitose hemofagocítica;CR Neoplasias Hematológicas
D762;Síndrome hematofagocítica associada à infecção;CR Neoplasias Hematológicas
D763;Outras síndromes histiocíticas;Não vinculado
D77;Outros transtornos do sangue e dos órgãos hematopoéticos em doenças classificadas em outra parte;CR Neoplasias Hematológicas
D80;Imunodeficiência com predominância de defeitos de anticorpos;CR Neoplasias Hematológicas
D800;Hipogamaglobulinemia hereditária;CR Neoplasias Hematológicas
D801;Hipogamaglobulinemia não familiar;CR Neoplasias Hematológicas
D802;Deficiência seletiva de imunoglobulina A [IgA];CR Neoplasias Hematológicas
D803;Deficiência seletiva de subclasses de imunoglobulina G [IgG];CR Neoplasias Hematológicas
D804;Deficiência seletiva de imunoglobulina M [IgM];CR Neoplasias Hematológicas
D805;Imunodeficiência com aumento de imunoglobulina M [IgM];CR Neoplasias Hematológicas
D806;Deficiência de anticorpos com imunoglobulinas próximas do normal ou com hiperimunoglobulinemia;CR Neoplasias Hematológicas
D807;Hipogamaglobulinemia transitória da infância;CR Neoplasias Hematológicas
D808;Outras imunodeficiências com predominância de defeitos de anticorpos;CR Neoplasias Hematológicas
D809;Imunodeficiência não especificada com predominância de defeitos de anticorpos;CR Neoplasias Hematológicas
D81;Deficiências imunitárias combinadas;CR Neoplasias Hematológicas
D810;Imunodeficiência combinada grave [SCID] com disgenesia reticular;CR Neoplasias Hematológicas
D811;Imunodeficiência combinada grave [SCID] com números baixos de células T e B;CR Neoplasias Hematológicas
D812;Imunodeficiência combinada grave [SCID] com números baixos ou normais de células B;CR Neoplasias Hematológicas
D813;Deficiência de adenosina-deaminase [ADA];CR Neoplasias Hematológicas
D814;Síndrome de Nezelof;CR Neoplasias Hematológicas
D815;Deficiência de purina-nucleosídeo fosforilase [PNP];CR Neoplasias Hematológicas
D816;Deficiência major classe I do complexo de histocompatibilidade;CR Neoplasias Hematológicas
D817;Deficiência major classe II do complexo de histocompatibilidade;CR Neoplasias Hematológicas
D818;Outras deficiências imunitárias combinadas;CR Neoplasias Hematológicas
D819;Deficiências imunitárias combinadas não especificadas;CR Neoplasias Hematológicas
D82;"Imunodeficiência associada com outros defeitos ""major""";CR Neoplasias Hematológicas
D820;Síndrome de Wiskott-Aldrich;CR Neoplasias Hematológicas
D821;Síndrome de Di George;CR Neoplasias Hematológicas
D822;Imunodeficiência com encurtamento de membros;CR Neoplasias Hematológicas
D823;Imunodeficiência que se segue à resposta hereditária defeituosa ao vírus de Epstein-Barr (EB);CR Neoplasias Hematológicas
D824;Síndrome da hiperimunoglobulina E [IgE];CR Neoplasias Hematológicas
D828;"Imunodeficiências associadas com outros defeitos ""major"" especificados";CR Neoplasias Hematológicas
D829;"Imunodeficiência associada com defeitos ""major"" não especificados";CR Neoplasias Hematológicas
D83;Imunodeficiência comum variável;CR Neoplasias Hematológicas
D830;Imunodeficiência comum variável com predominância de anormalidades do número e da função das células B;CR Neoplasias Hematológicas
D831;Imunodeficiência comum variável com predominância de transtornos imunorregulatórios de células T;CR Neoplasias Hematológicas
D832;Imunodeficiência comum variável com auto-anticorpos às células B ou T;CR Neoplasias Hematológicas
D838;Outras imunodeficiências comuns variáveis;CR Neoplasias Hematológicas
D839;Imunodeficiência comum variável não especificada;CR Neoplasias Hematológicas
D84;Outras imunodeficiências;CR Neoplasias Hematológicas
D840;Defeito do antígeno-1 da função de linfócito [LFA-1];CR Neoplasias Hematológicas
D841;Defeitos no sistema complemento;CR Neoplasias Hematológicas
D848;Outras imunodeficiências especificadas;CR Neoplasias Hematológicas
D849;Imunodeficiência não especificada;CR Neoplasias Hematológicas
D86;Sarcoidose;Não vinculado
D860;Sarcoidose do pulmão;CR Tumores do Pulmão e Tórax
D861;Sarcoidose dos gânglios linfáticos;Não Vinculado
D862;Sarcoidose do pulmão com sarcoidose dos gânglios linfáticos;CR Tumores do Pulmão e Tórax
D863;Sarcoidose da pele;CR Tumores Cutâneos
D868;Sarcoidose de outros locais especificados e locais combinados;Não Vinculado
D869;Sarcoidose não especificada;Não Vinculado
D89;Outros transtornos que comprometem o mecanismo imunitário não classificados em outra parte;CR Neoplasias Hematológicas
D890;Hipergamaglobulinemia policlonal;CR Neoplasias Hematológicas
D891;Crioglobulinemia;CR Neoplasias Hematológicas
D892;Hipergamaglobulinemia não especificada;Não vinculado
D898;Outros transtornos especificados que comprometem o mecanismo imunitário não classificados em outra parte;CR Neoplasias Hematológicas
D899;Transtornos não especificados que comprometem o mecanismo imunitário;CR Neoplasias Hematológicas
