SNOMED;Diagnóstico;Topografia;CID;DesProcedimento;chave_unica;CID_Final;Metodo;Confidence;Descricao_CID;Classificacao_Final;Motivo
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D123;;Pólipo Hiperplásico|Pólipo de cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D124;;Pólipo Hiperplásico|Pólipo de cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D125;;Pólipo Hiperplásico|Pólipo de cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D126;;Pólipo Hiperplásico|Pólipo de cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D127;;Pólipo Hiperplásico|Pólipo de cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D128;;Pólipo Hiperplásico|Pólipo de cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D129;;Pólipo Hiperplásico|Pólipo de cólon transverso|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de reto 01;D12;;Pólipo Hiperplásico|Pólipo de reto 01|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de reto 01;D129;;Pólipo Hiperplásico|Pólipo de reto 01|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de reto 02;D12;;Pólipo Hiperplásico|Pólipo de reto 02|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Pólipo de reto 02;D129;;Pólipo Hiperplásico|Pólipo de reto 02|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-43000;Gastrite Crônica Antral Leve;Biopsia gástrica;;;Gastrite Crônica Antral Leve|Biopsia gástrica|M-43000;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72040;Pólipo Hiperplásico;Biópsia de cólon sigmoide;D12;;Pólipo Hiperplásico|Biópsia de cólon sigmoide|M-72040;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-82110;Adenoma Tubular;Cólon sigmoide;D12;;Adenoma Tubular|Cólon sigmoide|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Cólon sigmoide;D129;;Adenoma Tubular|Cólon sigmoide|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Estômago;D131;;Adenoma Tubular|Estômago|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Adenoma Tubular;Estômago;D131;;Adenoma Tubular|Estômago|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
43000;Gastrite Crônica Corpórea Leve;Cólon sigmoide;;;Gastrite Crônica Corpórea Leve|Cólon sigmoide|43000;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
43000;Gastrite Crônica Corpórea Leve;Estômago;;;Gastrite Crônica Corpórea Leve|Estômago|43000;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-82110;Lesão séssil serrilhada;Cólon de transverso;D12;;Lesão séssil serrilhada|Cólon de transverso|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Lesão séssil serrilhada;Cólon descendente;D12;;Lesão séssil serrilhada|Cólon descendente|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Lesão séssil serrilhada;Estômago;D137;;Lesão séssil serrilhada|Estômago|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-82110;Lesão séssil serrilhada;Estômago;D137;;Lesão séssil serrilhada|Estômago|M-82110;D051;REGRA_SNOMED_MAJORITARIO;1.0;Carcinoma intraductal in situ;CR Tumores da Mama;SNOMED com CID majoritário claro (2/2).
M-72420;Pólipo Hiperplásico de Glândulas Fúndicas;Cólon sigmoide;D12;;Pólipo Hiperplásico de Glândulas Fúndicas|Cólon sigmoide|M-72420;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72420;Pólipo Hiperplásico de Glândulas Fúndicas;Cólon sigmoide;D129;;Pólipo Hiperplásico de Glândulas Fúndicas|Cólon sigmoide|M-72420;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72420;Pólipo Hiperplásico de Glândulas Fúndicas;Estômago;D130;;Pólipo Hiperplásico de Glândulas Fúndicas|Estômago|M-72420;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72420;Pólipo Hiperplásico de Glândulas Fúndicas;Estômago;D131;;Pólipo Hiperplásico de Glândulas Fúndicas|Estômago|M-72420;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72420;Pólipo Hiperplásico de Glândulas Fúndicas;Estômago;D132;;Pólipo Hiperplásico de Glândulas Fúndicas|Estômago|M-72420;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
M-72420;Pólipo Hiperplásico de Glândulas Fúndicas;Estômago;D133;;Pólipo Hiperplásico de Glândulas Fúndicas|Estômago|M-72420;INDETERMINADO;SEM_CANDIDATOS;0.0;;;Nenhum candidato recuperado.
